deal_id,title,link,timestamp,price,estimated_value,discount
"seagate_barracuda_st24000dm001_24tb_7200_rpm_512mb_cache_sata_6.0gb/s_3.5""_internal_hard_drive_bare_","Seagate BarraCuda ST24000DM001 24TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive $249.99",https://slickdeals.net/f/18794116-seagate-barracuda-st24000dm001-24tb-7200-rpm-512mb-cache-sata-6-0gb-s-3-5-internal-hard-drive-bare-drive-249-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:34:46.415842,249.99,208.85,-19.7
more_appletv_anime_complete_series_sale_$4.99,More AppleTV Anime Complete Series Sale $4.99,https://slickdeals.net/f/18792190-more-appletv-anime-complete-series-sale-4-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:34:50.956809,4.99,212.35,97.65
more_appletv_anime_complete_series_sale_$4.99,More AppleTV Anime Complete Series Sale $4.99,https://slickdeals.net/f/18792190-more-appletv-anime-complete-series-sale-4-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:08:10.520330,4.99,212.35,97.65
costco_december_2025_coupon_book_(11/17/25_to_12/21/25),Costco December 2025 Coupon Book (11/17/25 to 12/21/25),https://slickdeals.net/f/18795271-costco-december-2025-coupon-book-11-17-25-to-12-21-25?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:40:55.905522,24.59,198.85,87.63
highly_rated_sleep_mask_$3_ac/cip_q_fs_prime_amazon,Highly Rated SLEEP MASK $3 ac/cip Q FS PRIME Amazon,https://slickdeals.net/f/18789487-highly-rated-sleep-mask-3-ac-cip-q-fs-prime-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:40:58.579063,3.0,216.35,98.61
"cyberpowerpc_gamer_supreme_gaming_desktop,_amd_ryzen_7_9800x3d,_nvidia_geforce_rtx_5070_ti_16gb,_32g","CyberPowerPC Gamer Supreme Gaming Desktop, AMD Ryzen 7 9800X3D, NVIDIA GeForce RTX 5070 Ti 16GB, 32GB DDR5, 2TB SSD, Black, SLC7700WST $1699",https://slickdeals.net/f/18796558-cyberpowerpc-gamer-supreme-gaming-desktop-amd-ryzen-7-9800x3d-nvidia-geforce-rtx-5070-ti-16gb-32gb-ddr5-2tb-ssd-black-slc7700wst-1699?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:41:01.063500,1699.0,316.45,-436.89
flashforge_ad5x_multi-color_3d_printer_w/_auto_leveling_control_$235.50_+_free_s/h,Flashforge AD5X Multi-Color 3D Printer w/ Auto Leveling Control $235.50 + Free S/H,https://slickdeals.net/f/18723034-flashforge-ad5x-multi-color-3d-printer-w-auto-leveling-control-235-50-free-s-h?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:41:03.260320,235.5,225.65,-4.37
"ryobi_18v_one+_cordless_7-1/4""_compound_miter_saw_w/_4.0_ah_lithium-ion_battery_+_18v_charger_$129_+","RYOBI 18V ONE+ Cordless 7-1/4"" Compound Miter Saw w/ 4.0 Ah Lithium-Ion Battery + 18V Charger $129 + Free Shipping",https://slickdeals.net/f/18797713-ryobi-18v-one-cordless-7-1-4-compound-miter-saw-w-4-0-ah-lithium-ion-battery-18v-charger-129-free-shipping?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T20:41:05.348827,129.0,260.0,50.38
[s&s]_$11.23*:_6-pack_quaker_large_rice_cakes_(topper_variety_pack)_at_amazon_($1.87_each),[S&S] $11.23*: 6-Pack Quaker Large Rice Cakes (Topper Variety Pack) at Amazon ($1.87 each),https://slickdeals.net/f/18792385-s-s-11-23-6-pack-quaker-large-rice-cakes-topper-variety-pack-at-amazon-1-87-each?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:01:35.569859,11.23,244.95,95.42
"pepperidge_farm_verona_apricot_raspberry_thumbprint_cookies,_6.75_oz._bag~$2.01_after_coupon_&_s&s_@","Pepperidge Farm Verona Apricot Raspberry Thumbprint Cookies, 6.75 oz. Bag~$2.01 After Coupon & S&S @ Amazon",https://slickdeals.net/f/18770587-pepperidge-farm-verona-apricot-raspberry-thumbprint-cookies-6-75-oz-bag-2-01-after-coupon-s-s-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:01:37.928542,2.01,222.85,99.1
$10:_tmnt_arcade:_wrath_of_the_mutants_(nintendo_switch)_at_amazon,$10: TMNT Arcade: Wrath of the Mutants (Nintendo Switch) at Amazon,https://slickdeals.net/f/18797545-10-tmnt-arcade-wrath-of-the-mutants-nintendo-switch-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:01:40.284622,10.0,261.45,96.18
"petlibro_polar_smart_wet_cat_food_feeder:_plastic_bowl_$84.50,_stainless_steel_bowl_$97.50_+_free_sh","Petlibro Polar Smart Wet Cat Food Feeder: Plastic Bowl $84.50, Stainless Steel Bowl $97.50 + Free Shipping",https://slickdeals.net/f/18780088-petlibro-polar-smart-wet-cat-food-feeder-plastic-bowl-84-50-stainless-steel-bowl-97-50-free-shipping?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:01:42.636604,84.5,227.4,62.84
"$26.99_qunreda_remote_control_car,_rc_cars_toys_for_kids_ages_6-12,_4wd_stunt_car_with_led_lights_&_","$26.99 QUNREDA Remote Control Car, RC Cars Toys for Kids Ages 6-12, 4WD Stunt Car with LED Lights & 360° Flips, 2.4GHz, Upgraded USB-C Modular Batteries",https://slickdeals.net/f/18795919-26-99-qunreda-remote-control-car-rc-cars-toys-for-kids-ages-6-12-4wd-stunt-car-with-led-lights-360-flips-2-4ghz-upgraded-usb-c-modular-batteries?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:01:44.873438,26.99,221.35,87.81
[ac]_$11.99*:_2_×_12-oz_chevron_techron_concentrate_plus_fuel_system_cleaner_($6_each)_at_amazon,[AC] $11.99*: 2 × 12-Oz Chevron Techron Concentrate Plus Fuel System Cleaner ($6 each) at Amazon,https://slickdeals.net/f/18787516-ac-11-99-2-12-oz-chevron-techron-concentrate-plus-fuel-system-cleaner-6-each-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:05:44.670431,11.99,242.1,95.05
samsung_galaxy_z_fold6_256gb_f956u_unlocked_-_excellent_-_1_yr_allstate_warranty_-_cellfeee_via_ebay,Samsung Galaxy Z Fold6 256GB F956U Unlocked - Excellent - 1 Yr AllState Warranty - Cellfeee via eBay $799.99,https://slickdeals.net/f/18795454-samsung-galaxy-z-fold6-256gb-f956u-unlocked-excellent-1-yr-allstate-warranty-cellfeee-via-ebay-799-99?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:05:46.891994,799.99,248.3,-222.19
$699.99:_75″_tcl_qm6k_series_qd-mini_led_4k_uhd_google_smart_tv_at_amazon,$699.99: 75″ TCL QM6K Series QD-Mini LED 4K UHD Google Smart TV at Amazon,https://slickdeals.net/f/18787831-699-99-75-tcl-qm6k-series-qd-mini-led-4k-uhd-google-smart-tv-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:05:49.175638,699.99,306.8,-128.16
$699.99:_75″_tcl_qm6k_series_qd-mini_led_4k_uhd_google_smart_tv_at_amazon,$699.99: 75″ TCL QM6K Series QD-Mini LED 4K UHD Google Smart TV at Amazon,https://slickdeals.net/f/18787831-699-99-75-tcl-qm6k-series-qd-mini-led-4k-uhd-google-smart-tv-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:08:12.769739,699.99,306.8,-128.16
"thyme_&_table_2_pack_kind_to_your_mind_blue_and_tres_chic_purple_pearlized_mugs_19.9_fl_oz,_stonewar","Thyme & Table 2 Pack Kind to Your Mind Blue and Tres Chic Purple Pearlized Mugs 19.9 fl oz, Stoneware - $1.99 + free ship w/ Walmart+",https://slickdeals.net/f/18796873-thyme-table-2-pack-kind-to-your-mind-blue-and-tres-chic-purple-pearlized-mugs-19-9-fl-oz-stoneware-1-99-free-ship-w-walmart?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:05:51.351637,1.99,211.85,99.06
lifetime_6'_folding_table_@costco_in_warehouse_(b&m_only)_$47.99_ymmv,Lifetime 6' folding table @Costco in warehouse (B&M only) $47.99 YMMV,https://slickdeals.net/f/18786508-lifetime-6-folding-table-costco-in-warehouse-b-m-only-47-99-ymmv?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:05:53.748249,47.99,216.95,77.88
travelon_packing_intelligence_pi_forget_me_not_mini_organizer_(black)_$12.53_+_free_shipping_w/_prim,Travelon Packing Intelligence Pi Forget Me Not Mini Organizer (Black) $12.53 + Free Shipping w/ Prime or on $35+,https://slickdeals.net/f/18790579-travelon-packing-intelligence-pi-forget-me-not-mini-organizer-black-12-53-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:08:02.997596,12.53,245.9,94.9
"gourmia_1800w_all-in-one_indoor_pizza_oven,_toaster_oven,_and_air_fryer:_$120_at_target","Gourmia 1800W All-In-One Indoor Pizza Oven, Toaster Oven, and Air Fryer: $120 at Target",https://slickdeals.net/f/18794329-gourmia-1800w-all-in-one-indoor-pizza-oven-toaster-oven-and-air-fryer-120-at-target?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:08:06.188561,120.0,273.5,56.12
"$249.99*:alienware_-_aw2523hf_24.5""_ips_led_fhd_360hz_.5-ms_freesync_gaming_monitor_with_hdr_(usb,_h","$249.99*:Alienware - AW2523HF 24.5"" IPS LED FHD 360Hz .5-ms FreeSync Gaming Monitor with HDR (USB, HDMI) - Dark side of the Moon",https://slickdeals.net/f/18797758-249-99-alienware-aw2523hf-24-5-ips-led-fhd-360hz-5-ms-freesync-gaming-monitor-with-hdr-usb-hdmi-dark-side-of-the-moon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-11-12T21:08:08.300869,249.99,273.35,8.55
"crucial_4tb_bx500_sata_iii_2.5""_internal_ssd_$184.99_@_b&h_photo","Crucial 4TB BX500 SATA III 2.5"" Internal SSD $184.99 @ B&H Photo",https://slickdeals.net/f/18908722-crucial-4tb-bx500-sata-iii-2-5-internal-ssd-184-99-b-h-photo?utm_source=rss&utm_content=&utm_medium=RSS2,2025-12-01T21:58:03.157866,184.99,247.55,25.27
"[s&s,_ac]_$4.54*:_30-count_0.31-oz_emergen-c_immune+_triple_action_drink_powder_(raspberry)_at_amazo","[S&S, AC] $4.54*: 30-Count 0.31-Oz Emergen-C Immune+ Triple Action Drink Powder (Raspberry) at Amazon",https://slickdeals.net/f/18909550-s-s-ac-4-54-30-count-0-31-oz-emergen-c-immune-triple-action-drink-powder-raspberry-at-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-12-01T21:58:07.593639,4.54,224.3,97.98
"$5.99*:cat_construction_toys,_power_haulers_2.0_dump_truck(12.25_x_6.25_x_7_inches)","$5.99*:CAT Construction Toys, Power Haulers 2.0 Dump Truck(12.25 x 6.25 x 7 inches)",https://slickdeals.net/f/18910816-5-99-cat-construction-toys-power-haulers-2-0-dump-truck-12-25-x-6-25-x-7-inches?utm_source=rss&utm_content=&utm_medium=RSS2,2025-12-01T21:58:11.334731,5.99,262.75,97.72
6-quart_instant_pot_duo_plus_multi-use_pressure_cooker_w/_whisper-quiet_steam_release_$70_@_amazon,6-Quart Instant Pot Duo Plus Multi-Use Pressure Cooker w/ Whisper-Quiet Steam Release $70 @ Amazon,https://slickdeals.net/f/18909568-6-quart-instant-pot-duo-plus-multi-use-pressure-cooker-w-whisper-quiet-steam-release-70-amazon?utm_source=rss&utm_content=&utm_medium=RSS2,2025-12-01T21:58:14.017618,70.0,237.2,70.49
poly_and_bubble_mailers_(various_sizes)_-_now_free_after_menards_mail-in-rebate_for_merchandise_cred,Poly and Bubble Mailers (Various Sizes) - Now FREE after MENARDS Mail-In-Rebate for Merchandise Credit on future purchases),https://slickdeals.net/f/18910939-poly-and-bubble-mailers-various-sizes-now-free-after-menards-mail-in-rebate-for-merchandise-credit-on-future-purchases?utm_source=rss&utm_content=&utm_medium=RSS2,2025-12-01T21:58:17.547578,21.62,253.8,91.48
